date,group name,total messages,Datedifference,"count of the hashtag ""#FIVE""","count of the hashtag ""#FOUR""","count of the hashtag ""#Three""","count of the hashtag ""#SceneType""",score,rank,total titles
2025-07-23,Alex Coal,9832,7,42,20,5,64,544.9121522693997,1,70
2025-07-23,Millie Morgan,5353,5,40,17,6,60,506.3859018926456,2,61
2025-07-23,Katrina Colt,5974,7,36,22,2,57,487.98823038168615,3,57
2025-07-23,Eva Lovia,8390,69,31,18,2,48,419.537752842185,4,48
2025-07-23,Jia Lissa,4627,19,31,12,3,41,387.4425186470925,5,43
2025-07-23,Chanel Camryn,4695,42,26,22,2,50,386.1749309333851,6,43
2025-07-23,Adriana Chechik,6953,21,31,11,2,41,383.7789805779556,7,39
2025-07-23,Abigail Mac,7117,28,25,15,2,39,343.843293837197,8,41
2025-07-23,Aidra Fox,6438,117,23,18,4,41,338.84961705108486,9,49
2025-07-23,Octavia Red,4318,7,22,19,5,46,334.3039342059335,10,47
2025-07-23,Antonia Sainz,4106,15,25,8,1,29,304.97118144118406,11,36
2025-07-23,Jessica Ryan,3156,28,21,16,1,35,303.8146119820302,12,38
2025-07-23,Alexis Crystal,3696,53,21,14,5,36,297.997806785028,13,36
2025-07-23,Kira Queen,4246,61,13,29,9,49,297.44007436201986,14,53
2025-07-23,Tori Black,3817,182,26,4,0,23,291.23214811170266,15,31
2025-07-23,Cassidy Klein,7842,102,20,14,3,31,289.49722661354986,16,37
2025-07-23,Josephine Jackson,3057,40,18,17,3,36,280.53822490162696,17,36
2025-07-23,Sybil A,3955,36,22,8,6,34,279.51013423762254,18,36
2025-07-23,Vintage,1016,56,14,24,9,0,279.22808959181896,19,120
2025-07-23,Lady Lyne,3116,19,17,18,4,35,276.90570009542455,20,39
2025-07-23,Cory Chase,6072,61,20,11,4,36,274.29727533842345,21,36
2025-07-23,Laney Grey,2978,7,20,11,3,32,270.94103754197903,22,33
2025-07-23,Nephael,359,1,21,8,1,28,261.3651342554923,23,9
2025-07-23,Anya Olsen,5493,15,18,12,4,33,259.3818811970832,24,35
2025-07-23,Aubree Valentine,3420,60,18,12,4,36,256.61460173670224,25,34
2025-07-23,Cadence Lux,2365,85,18,10,1,28,242.17554267476922,26,29
2025-07-23,Little Caprice,1574,28,17,12,0,27,241.2055802489138,27,26
2025-07-23,Ella Hughes,6182,7,15,14,2,30,238.19978449071786,28,29
2025-07-23,Lily LaBeau,4312,1,19,6,0,22,234.38567941415786,29,25
2025-07-23,Anita Rover,1233,15,13,18,3,26,234.04909031018326,30,24
2025-07-23,Serenity Cox,819,15,17,8,1,20,221.6280162662451,31,12
2025-07-23,Betzz,3257,7,17,7,1,20,219.2248048324591,32,25
2025-07-23,Flashing Emma,226,21,18,3,0,4,204.93703590749183,33,1
2025-07-23,REBECCA VOLPETTI,3038,7,11,14,5,21,198.0020627657382,34,29
2025-07-23,CHARLIE FORDE,1976,7,14,8,1,20,192.92191630520117,35,20
2025-07-23,Crystal Clark,3774,5,12,10,6,27,189.77992142071724,36,28
2025-07-23,Full Movies,873,5,8,18,3,0,183.82935185196217,37,58
2025-07-23,Stacy Cruz,2852,99,12,9,3,24,179.46588603621365,38,26
2025-07-23,Olive Glass,2503,19,10,12,4,24,176.28222572601848,39,28
2025-07-23,Lexi Luna,2789,39,11,10,4,23,176.2802868572695,40,28
2025-07-23,Jessie and Jackson,47,28,13,6,1,9,170.65248830424335,41,1
2025-07-23,Melissa sexy hippies,99,6,15,2,0,15,170.0274851770357,42,1
2025-07-23,Katie Kush,2880,15,9,13,1,24,168.72423270237203,43,23
2025-07-23,Brett Rossi,3171,252,13,5,2,20,166.55021967889238,44,20
2025-07-23,Nikita Bellucci,266,1,10,9,1,18,156.27054515866558,45,7
2025-07-23,Kenzie Love,2608,5,10,8,2,20,154.59399790566437,46,22
2025-07-23,Lexi Dona,2405,40,11,6,1,15,152.8750841367775,47,18
2025-07-23,Lily Lou,1791,19,10,8,1,19,152.55805973740985,48,19
2025-07-23,Dolly Dyson,1533,36,8,11,1,19,147.046749371878,49,18
2025-07-23,Penny Barber,1925,21,5,16,5,26,146.66506682693853,50,27
2025-07-23,Sarah Vandella,2773,91,11,5,0,15,146.50266646573115,51,16
2025-07-23,Cherry Kiss,2889,132,6,13,7,26,143.02035573923018,52,29
2025-07-23,Gal Ritchie,1392,15,10,5,1,15,137.21080715314503,53,16
2025-07-23,Britney Amber,2281,15,9,7,0,17,137.11499755184315,54,15
2025-07-23,EMILY THORNE,702,138,9,7,2,19,135.70813860260873,55,19
2025-07-23,Laure Zecchi,309,28,8,9,0,13,134.91896511465833,56,12
2025-07-23,Helena Valle,2140,182,9,7,0,14,134.5264931076343,57,16
2025-07-23,Annie King,2086,40,7,10,1,18,132.55063336379135,58,18
2025-07-23,Calita Fire,982,28,10,4,0,13,130.6034647078235,59,15
2025-07-23,Dani Daniels,885,69,11,2,0,10,129.90451443697754,60,12
2025-07-23,Jadilica - Leo Ahsoka,1980,19,6,11,0,20,126.7502891922512,61,19
2025-07-23,Casey Calvert,1840,19,9,4,1,14,122.60789700347983,62,15
2025-07-23,Angel Young💋,1083,21,8,5,1,13,116.80867952018508,63,9
2025-07-23,Lena Paul,2128,166,8,5,1,14,115.7485486778166,64,17
2025-07-23,Amirah Adara,1988,1,7,6,2,12,114.02196908055329,65,16
2025-07-23,Angela White,988,21,3,12,1,14,101.71205624923309,66,14
2025-07-23,Lilith - Berta Lusty - Felice Morgan,826,7,7,4,0,11,100.75226618315072,67,11
2025-07-23,Bonnie Blue,191,15,6,5,3,10,97.98928559089929,68,3
2025-07-23,Emma Klein,887,5,5,7,2,14,97.8435910708393,69,11
2025-07-23,Joanna Angel,881,1,8,1,0,9,95.89605370219691,70,10
2025-07-23,Cherie Deville,911,15,5,6,1,12,91.72158827600913,71,12
2025-07-23,Eve Sweet,957,7,7,2,0,8,90.88550458835822,72,9
2025-07-23,Lea Pam,121,19,6,4,0,10,89.85952434278008,73,4
2025-07-23,Tiffany Leiddi,252,7,5,5,3,11,88.16845820918816,74,12
2025-07-23,Andi Rose,435,204,6,3,0,8,82.47025132027728,75,11
2025-07-23,Paige Owens,1768,36,5,4,1,12,82.28576483160136,76,12
2025-07-23,Sumiko,1549,5,4,6,0,7,81.51690270631529,77,10
2025-07-23,Hailey Rose,952,42,4,6,1,11,81.36797405787658,78,12
2025-07-23,Julia Roca,556,40,1,11,5,7,79.99449015793293,79,6
2025-07-23,Helena Price,1970,68,5,3,2,9,78.02269518838895,80,10
2025-07-23,poppynzach,20,6,3,7,0,9,74.94713529908614,81,1
2025-07-23,Mia Malkova,997,257,5,3,2,9,74.26586596251877,82,11
2025-07-23,Layla Scarlet,778,252,6,1,1,7,73.11633033796477,83,8
2025-07-23,Mia melano,194,387,6,1,0,6,69.54577755486909,84,8
2025-07-23,Riley Reid,637,85,5,2,0,6,69.41801623050559,85,5
2025-07-23,annaplusone,13,102,6,0,0,2,68.53445200004288,86,1
2025-07-23,Freya Parker,1056,131,2,7,3,12,67.17067644182143,87,12
2025-07-23,Aaliyah Love,1098,97,3,5,1,9,65.71119790518783,88,9
2025-07-23,Agatha Vega,507,68,5,1,1,6,65.53469681572825,89,6
2025-07-23,Nicole Emma Vaunt,624,15,4,3,0,6,65.42968428902785,90,7
2025-07-23,Charlotte Stokely,431,15,5,1,0,5,65.23338648593591,91,6
2025-07-23,Addison Lee,742,223,3,5,0,8,62.50431256827737,92,9
2025-07-23,Ophelia Kaan,893,40,2,6,0,8,60.33724849804683,93,8
2025-07-23,Ana B,452,98,4,2,0,4,59.03951837428089,94,6
2025-07-23,Marie Berger,580,280,3,4,0,6,56.50499102342487,95,7
2025-07-23,Savvy Suxx,479,57,3,3,1,6,55.667272550741174,96,7
2025-07-23,Nikki Zee,454,15,2,5,0,7,55.25677948837692,97,7
2025-07-23,Olivia Sparkle,753,61,4,1,0,5,54.88738925217445,98,5
2025-07-23,Chloe Duval,65,85,2,5,1,7,54.836242430668314,99,3
2025-07-23,Jeny Smith,39,245,1,7,3,2,54.4671920176982,100,11
2025-07-23,maitland ward,685,307,3,3,1,6,52.21647037730207,101,8
2025-07-23,Vanna Bardot,692,78,3,2,2,7,51.57644503798515,102,9
2025-07-23,Molly Little,664,205,1,6,3,9,50.68852296919135,103,15
2025-07-23,Sata Jones,594,5,2,4,0,5,50.54558456148209,104,6
2025-07-23,Sloan Harper,1478,131,3,2,0,5,49.599887182260815,105,5
2025-07-23,Ava Moore,288,39,1,5,1,2,45.736552113575414,106,2
2025-07-23,Sharon White,388,6,3,1,0,4,45.32142333814228,107,4
2025-07-23,Innocent hotwife,146,7,2,3,0,5,45.06064698054698,108,1
2025-07-23,Jane Wilde,374,36,3,1,0,4,44.867945466263684,109,4
2025-07-23,Theodora Day,634,162,3,1,1,5,44.2875857599472,110,5
2025-07-23,Eden Moore,170,138,2,3,0,3,43.16704828527758,111,5
2025-07-23,Lullabyebye,100,145,3,1,0,8,42.99336317185823,112,3
2025-07-23,Lena Coxx,369,36,3,0,1,4,40.86286003095042,113,4
2025-07-23,LaSirena69,678,19,2,2,0,4,40.426041836677555,114,4
2025-07-23,Leya Desantis,504,41,2,2,0,4,39.92696034224161,115,4
2025-07-23,Amelia Ost,1230,120,1,4,0,4,39.508703763490175,116,5
2025-07-23,Kinuski,456,69,1,4,0,5,39.46818408709959,117,6
2025-07-23,Alexa Tomas,451,196,2,2,0,4,37.60365502074679,118,4
2025-07-23,Eden Ivy,344,205,0,6,0,6,37.36305510914253,119,7
2025-07-23,JULIALEXXX,30,204,2,2,0,4,37.058331059903004,120,5
2025-07-23,Charlie Red,575,347,2,2,1,5,36.518939263075005,121,5
2025-07-23,Kendra Lust,275,91,2,1,2,4,35.96198298322506,122,5
2025-07-23,Veronica Weston,313,349,3,0,0,3,35.22317987579327,123,3
2025-07-23,Ivey Passion,156,103,2,1,1,4,34.665254161568825,124,4
2025-07-23,Milan Cheek,317,128,2,1,0,2,33.46297296782133,125,3
2025-07-23,Emma Ruby,4,110,2,1,0,0,33.40816790901196,126,1
2025-07-23,Spencer Bradley,327,204,2,1,1,4,33.36040591751082,127,4
2025-07-23,Blake Blossom,243,169,2,1,0,3,32.78741569941637,128,3
2025-07-23,Nickey Huntsman,542,284,0,5,0,5,31.407776561310545,129,5
2025-07-23,Roxy Muray,373,1,2,0,0,1,30.379373474369405,130,2
2025-07-23,Valentina Nappi,931,117,1,2,1,3,30.24851859705721,131,6
2025-07-23,Alina Lopez,267,349,1,3,0,4,30.176393870911248,132,4
2025-07-23,Erin Moore,141,15,2,0,0,2,29.93843123776666,133,1
2025-07-23,Alice adorable,114,20,1,2,0,0,29.837763444908134,134,0
2025-07-23,Venus Valencia,320,40,2,0,0,2,29.75445761114692,135,2
2025-07-23,Nadia Foxx,21,28,2,0,0,2,29.62604404061439,136,1
2025-07-23,Alice Klay,331,85,2,0,0,2,29.106787589333898,137,2
2025-07-23,Whitney Wright,563,172,0,4,1,5,29.06895969416505,138,5
2025-07-23,Chanel Preston,336,138,0,4,0,5,28.335884737677908,139,4
2025-07-23,Slimthick Vic,529,223,1,2,1,4,28.28767302393237,140,4
2025-07-23,Melody Mae,602,166,0,4,0,5,28.19647382020879,141,4
2025-07-23,Katy Rose,322,176,1,2,0,3,27.76527655833225,142,4
2025-07-23,Jeniffer Flex,197,169,2,0,0,2,27.740629694534356,143,2
2025-07-23,Nesty,278,205,2,0,0,2,27.295927363007454,144,3
2025-07-23,JILL KASSIDY,1036,278,1,2,0,3,26.998065300861203,145,4
2025-07-23,Sophie Choeur,35,6,0,3,2,0,26.96239160502593,146,1
2025-07-23,Pristine Edge,443,36,0,3,2,5,26.93812447358671,147,5
2025-07-23,Miriam Sinn Nimfa Nice,709,40,0,3,1,3,26.150104478518763,148,4
2025-07-23,Bella Rolland,145,288,1,2,0,3,25.94542784370395,149,3
2025-07-23,Stoya,145,335,1,2,0,3,25.25728728733499,150,3
2025-07-23,Lucy Mendez,392,40,0,3,0,3,24.8276878796579,151,3
2025-07-23,NakedBakers,71,21,1,1,0,0,24.77938741278069,152,1
2025-07-23,Jesse Pony,313,41,1,1,0,2,24.73269671327497,153,2
2025-07-23,Stella Luxx,295,60,0,3,0,3,24.43620466591296,154,3
2025-07-23,Maddy Keys,4,57,0,3,0,1,24.18415619598121,155,1
2025-07-23,Alice Drake,278,96,1,1,0,2,23.891827802246112,156,2
2025-07-23,Sandy Cheeks,417,110,0,3,0,3,23.828224865887464,157,3
2025-07-23,Sveltelana,239,103,1,1,0,0,23.74967238776898,158,2
2025-07-23,Anissa Kate,327,202,0,3,1,3,23.38968849437758,159,4
2025-07-23,Daruma Rai,329,169,1,1,0,2,22.87488518680449,160,2
